	Cluster_14 MPP3KO_Cl6,MPP4WT_Cl22	Cluster_3 MPP3KO_Cl21,MPP4KO_Cl2	Cluster_30 MPP3KO_Cl22,MPP3KO_Cl16,MPP3KO_Cl15	Cluster_13 MPP3KO_Cl9,MPP4KO_Cl7,MPP4WT_Cl6	MPP3KO_Cluster_18 MPP3KO_Cl18	Cluster_9 MPP3KO_Cl11,MPP4WT_Cl13	MPP3KO_Cluster_10 MPP3KO_Cl10	Cluster_25 MPP3KO_Cl8,MPP4WT_Cl9	Cluster_23 MPP3KO_Cl1,MPP4WT_Cl12	Cluster_33 MPP3KO_Cl13,MPP3WT_Cl13,MPP3WT_Cl12	Cluster_26 MPP3KO_Cl5,MPP3KO_Cl4,MPP4WT_Cl4	Cluster_39 MPP3KO_Cl20,MPP3WT_Cl9	MPP3KO_MA1536.1 MPP3KO_Cl17	MPP3KO_MA0506.1 MPP3KO_Cl14	Cluster_16 MPP3KO_Cl12,MPP4WT_Cl17	MPP3KO_MA0067.1 MPP3KO_Cl23	Cluster_12 MPP3KO_Cl7,MPP4WT_Cl21,MPP4WT_Cl20	MPP3KO_MA1616.1 MPP3KO_Cl3	Cluster_29 MPP3KO_Cl19,MPP4WT_Cl3	MPP3KO_Cluster_2 MPP3KO_Cl2	Cluster_4 MPP3WT_Cl14,MPP3WT_Cl3,MPP4KO_Cl1	Cluster_5 MPP3WT_Cl8,MPP4KO_Cl4	Cluster_22 MPP3WT_Cl1,MPP3WT_Cl2	MPP3WT_MA0739.1 MPP3WT_Cl7	Cluster_7 MPP3WT_Cl4,MPP4KO_Cl5,MPP4KO_Cl7(...)	MPP3WT_Cluster_5 MPP3WT_Cl5	MPP3WT_MA0513.1 MPP3WT_Cl6	MPP3WT_MA1581.1 MPP3WT_Cl10	MPP3WT_Cluster_11 MPP3WT_Cl11	Cluster_1 MPP4KO_Cl6,MPP4KO_Cl3	MPP4WT_Cluster_5 MPP4WT_Cl5	MPP4WT_MA0041.1 MPP4WT_Cl14	MPP4WT_MA0850.1 MPP4WT_Cl15	MPP4WT_MA0109.1 MPP4WT_Cl10	Cluster_18 MPP4WT_Cl19,MPP4WT_Cl18	MPP4WT_Cluster_11 MPP4WT_Cl11	MPP4WT_MA0676.1 MPP4WT_Cl8	MPP4WT_MA0687.1 MPP4WT_Cl1	MPP4WT_Cluster_16 MPP4WT_Cl16	MPP4WT_MA1585.1 MPP4WT_Cl2	MPP4WT_MA0079.4 MPP4WT_SP1
Cluster_14 MPP3KO_Cl6,MPP4WT_Cl22	0.0	-0.015394917819520225	-0.04756162053389615	-0.010736222964315593	-0.005508421593152114	0.8108543055131834	-0.014611903514468361	-0.012528071547658734	-0.10664934842287394	-0.04474373151059135	-0.014773594335351798	-0.03330871540301578	-0.005569856997300522	-0.017113829378357235	-0.036956337853179734	-0.00909505359346873	-0.024059869534268134	-0.02405986953426812	-0.02779643972107367	-0.0220903245732235	-0.042265425069729017	-0.02179025001859308	-0.1076086481445367	-0.016250002186753616	-0.08762485621650935	-0.028944164204535813	-0.04474373151059129	-0.017708062189650698	-0.03494386615242719	-0.03868759812223797	-0.02961239703811897	-0.04800500100673751	-0.01559967659184838	-0.0009693614308107151	2.3385109819721164	-0.08409562284376743	-0.014216218591409311	-0.09777969722829856	-0.015887711041300726	-0.011588698272832116	0.716452131467289
Cluster_3 MPP3KO_Cl21,MPP4KO_Cl2	-0.015394917819520225	0.0	-0.062495170090919004	-0.025303395462670544	0.36329353118764435	-0.05273513456538903	-0.10201927883672651	-0.044355607005187175	-0.19129906445644237	-0.2531264842485893	-0.11962058134323422	-0.04898817992938727	-0.13249924394987683	-0.20557022679432863	-0.032032090420208964	0.48431991102307625	-0.041696672557762625	0.27951963867274027	1.2306520451378047	-0.11455038480181495	1.0129531851078297	0.1226926969421768	-0.23134372232382208	0.5097545978972314	0.4815037080330276	1.7699534063447788	-0.28557304679399204	-0.5178704251271133	0.48285643217477436	-0.16115183257908727	-0.011364033989092989	0.48024721106660323	-0.07018329789302219	-0.051669772517967526	-0.09135472026543424	0.2994466600142841	-0.06598456798429339	-0.19728130748747044	-0.09436079727683186	-0.07377095056894285	-0.07377715746153823
Cluster_30 MPP3KO_Cl22,MPP3KO_Cl16,MPP3KO_Cl15	-0.04756162053389615	-0.062495170090919004	0.0	-0.021886501970013038	1.269199703218638	-0.04358625857809205	-0.0698097985499639	-0.03316989963158982	-0.18845336881238156	-0.16146602685646774	-0.07343470218852786	0.7101981271805303	-0.055760705628643	-0.11382513067478486	-0.036750687265270345	-0.020590219811571563	-0.07583005815072501	-0.08253440740622935	-0.08628138064649434	-0.08644897090543056	-0.14006554662729523	-0.13277722762857172	1.18443779277744	-0.14381126323954532	0.8196617091558457	0.614049238372635	0.5607623651573951	-0.11404224764236921	0.4535011158894705	0.5131255081620121	-0.0634175415523095	0.658480959563195	-0.03727312703562326	-0.034073794128275575	-0.08076165736982269	0.11886649023683289	-0.05813081880788227	0.33509938465693967	-0.058904969893275434	-0.036088201851116594	1.3924532672306886
Cluster_13 MPP3KO_Cl9,MPP4KO_Cl7,MPP4WT_Cl6	-0.010736222964315593	-0.025303395462670544	-0.021886501970013038	0.0	-0.015599676591848381	-0.008223380211214078	-0.02754847813927572	-0.023090107113985063	-0.1279119371255102	0.7742864431836649	-0.02650528182975227	-0.02894416420453582	-0.020814379749057834	-0.024257006322903108	-0.025047230742027717	-0.004670567674689836	-0.03310299018093768	-0.029938611735962985	1.4574350645170548	-0.028651714137044	-0.05034227062197501	-0.029938611735962996	-0.1396797242633512	-0.029716867478804605	-0.12685514621423705	-0.05262377018740845	-0.04582175364920826	-0.03125595317054097	0.7380834928572864	-0.0848494594064905	-0.11702623077651865	-0.016092657536775894	-0.015689997520166876	-0.006461303921841977	-0.07711973335647142	-0.1515045933729712	-0.030081889872257676	0.6312364678407273	-0.012436551810269921	-0.02459024790769046	-0.10564544794953959
MPP3KO_Cluster_18 MPP3KO_Cl18	-0.005508421593152114	0.36329353118764435	1.269199703218638	-0.015599676591848381	0.0	-0.0477491263520514	-0.10055862188522266	-0.04210011517261106	-0.17999750324067612	0.7894266671573404	-0.08039159609487206	-0.044918357964322725	-0.08964300878673191	-0.32926229053541883	-0.016515095467375864	-0.0825344074062293	-0.01988875967853587	-0.1477016088840358	-0.20135057657729416	-0.06040542754618046	-0.316746569536744	0.1706512392333424	0.0856499235788976	-0.19015827426747792	1.3712631549337433	0.4473179343554256	-0.21931895315621422	-0.30355654772805224	0.24920437711518204	1.013118146446917	-0.008880243856018861	-0.050770120873493856	-0.0586477311038073	-0.02943296625602709	-0.03303838111942006	-0.13116050143002275	-0.03622516477896986	-0.15502998825324568	-0.06958439274227521	-0.05534896166953259	0.7547341555502384
Cluster_9 MPP3KO_Cl11,MPP4WT_Cl13	0.8108543055131834	-0.05273513456538903	-0.04358625857809205	-0.008223380211214078	-0.0477491263520514	0.0	-0.05890496989327544	-0.023113671389142883	0.49348821922706665	-0.1371876042154731	-0.06610274449427879	-0.07118095495585267	-0.0556597933832943	-0.10830612716240523	-0.06676454492365236	-0.027998454088259465	-0.08157512907696822	-0.08897378203780713	-0.10311764609588667	-0.06854267966875063	-0.14834422861945554	1.1658819819266633	0.7380257815427607	-0.06960088436543595	0.5819224429946004	-0.10079401547208802	-0.1536716226444218	-0.12456605793987209	1.1252958669486346	-0.24850108316293562	-0.055038099510675495	0.2870178119616892	2.802902446787556	-0.0358255026387288	0.5803940677417673	0.10505572329991895	0.6460926659424567	-0.24319565686761718	-0.066972009608929	0.7643001132375095	1.079680568258236
MPP3KO_Cluster_10 MPP3KO_Cl10	-0.014611903514468361	-0.10201927883672651	-0.0698097985499639	-0.02754847813927572	-0.10055862188522266	-0.05890496989327544	0.0	-0.04404504116824825	0.02688352824660638	-0.1792934382815294	-0.102282762905041	0.6417965487206363	-0.0753464045803488	-0.18385606980623104	-0.052049051514007606	-0.03712647362403921	0.7007541637434734	-0.1272937483159663	-0.12774152601999803	-0.09364472644129845	-0.23536263634314283	-0.20219797919066126	-0.42433780818380373	-0.15403708498430227	-0.544616289463971	-0.250112774973694	0.4219333482766055	-0.16419621025234443	-0.30996000282620984	-0.3599902190912771	0.706488264460867	-0.08123265576486825	-0.056866972978431844	-0.04358625857809205	1.3748417631147136	0.4517682062076184	-0.06203761749300891	0.36237489217873553	-0.12944188673586954	-0.05526406687871384	-0.4118554815498125
Cluster_25 MPP3KO_Cl8,MPP4WT_Cl9	-0.012528071547658734	-0.044355607005187175	-0.03316989963158982	-0.023090107113985063	-0.04210011517261106	-0.023113671389142883	-0.04404504116824825	0.0	-0.17189390530612256	-0.10543706287706331	-0.03034670871029786	0.7513765364098879	-0.047428980994416774	0.6075435763026615	-0.014216218591409313	-0.027082084369196742	-0.025502572374275456	-0.06310290047617322	-0.04313995206866766	-0.04595609067925663	0.49471031314647695	0.5236380189488484	-0.2786409522592678	1.4715830790063953	-0.2617114184777529	-0.07427677043152857	0.5779997042224112	0.6351100299554717	-0.09317373973342039	-0.16956188479912462	-0.02594064341683032	-0.049596829588124274	-0.02000168184289439	-0.018869875046792616	-0.03954633018639604	-0.15336231873944	-0.03519684969163045	-0.15079564848060198	-0.05398672628390066	-0.04210011517261103	-0.2163509299021253
Cluster_23 MPP3KO_Cl1,MPP4WT_Cl12	-0.10664934842287394	-0.19129906445644237	-0.18845336881238156	-0.1279119371255102	-0.17999750324067612	0.49348821922706665	0.02688352824660638	-0.17189390530612256	0.0	0.0524228496785472	-0.27338592036403747	0.06990341060400634	0.13857971963469895	-0.0396040836753811	3.3621450478634443	-0.12398644259242554	2.7868713103670637	0.015545343004167766	0.5548221778485464	-0.1349156361408919	-0.24823632253821948	0.029981393355439295	-0.11147258693499526	-0.32719903436102676	-0.3398634094820607	-0.2544771313933072	0.29209545289638905	-0.08080956650670135	0.2053427091539088	-0.44455714355773757	0.5005314790615439	0.9684545917632962	0.7828519967666899	-0.19418577271890963	0.08432873278017607	2.3392377184892297	5.24693668888851	0.2804537728746746	0.36842278521674016	-0.21681161115438874	-0.4239760197370217
Cluster_33 MPP3KO_Cl13,MPP3WT_Cl13,MPP3WT_Cl12	-0.04474373151059135	-0.2531264842485893	-0.16146602685646774	0.7742864431836649	0.7894266671573404	-0.1371876042154731	-0.1792934382815294	-0.10543706287706331	0.0524228496785472	0.0	-0.2319906756571867	0.5052792932195007	1.0704456125576967	-0.04614528856731484	-0.04649300256050599	-0.11494317593380582	-0.08786726532395922	-0.36162360316176345	2.169425055171385	-0.2617394990182654	-0.5200453202517187	2.310629579038729	-0.3770787201724198	0.33587133353689513	0.4969016882517404	0.8613480318130832	0.1457905062500768	1.245985658208832	0.452335456266475	-0.4912043018720028	-0.06251335174813552	-0.13901432985992707	-0.12718343838215854	0.5169036908922386	-0.10810062309755161	-0.27030945634811887	-0.16775177511091977	0.3744967890583593	0.4504782874648369	0.5339689223125083	-0.36008705804395197
Cluster_26 MPP3KO_Cl5,MPP3KO_Cl4,MPP4WT_Cl4	-0.014773594335351798	-0.11962058134323422	-0.07343470218852786	-0.02650528182975227	-0.08039159609487206	-0.06610274449427879	-0.102282762905041	-0.03034670871029786	-0.27338592036403747	-0.2319906756571867	0.0	-0.07597469266479574	-0.1226047622197616	0.28175636324408504	-0.023234134526553225	-0.0551020518195771	-0.04135461729140099	0.46985639265261553	-0.1115685245494811	-0.12709226050462039	-0.26493567785301586	-0.23005715431761675	-0.45785538555383515	-0.18707420386917695	0.5152796062136085	-0.20377082960963674	-0.23428171572723355	-0.19334123334558198	0.3579388570688717	-0.013100823417233119	-0.023683602525535474	-0.08338307678917588	0.7274207867040398	-0.040751918062298206	0.6665988772044666	-0.16886125414285869	-0.06523688449283822	-0.2574842040599229	-0.10699779204298182	-0.08820772011228578	0.6803547893667319
Cluster_39 MPP3KO_Cl20,MPP3WT_Cl9	-0.03330871540301578	-0.04898817992938727	0.7101981271805303	-0.02894416420453582	-0.044918357964322725	-0.07118095495585267	0.6417965487206363	0.7513765364098879	0.06990341060400634	0.5052792932195007	-0.07597469266479574	0.0	-0.07647906548360434	-0.09330846102200917	-0.050492543254513605	-0.02943296625602705	-0.060084295407237476	-0.10837701688092144	1.3243872314347558	-0.07647906548360428	-0.16640059164946955	0.4487942632927916	0.633193078646061	-0.10552258570575616	0.0776214494084112	1.7384388348902389	1.6745453231451843	1.726168732446418	1.1108577751360778	0.21174235086198262	-0.045266734232496886	0.47301781019045325	-0.06906341646932793	-0.04611215864647515	-0.05800641408940394	0.2789619440773474	0.6711084489792345	0.3456342911743175	-0.09497359655152547	-0.07527434030722553	0.3031046023538794
MPP3KO_MA1536.1 MPP3KO_Cl17	-0.005569856997300522	-0.13249924394987683	-0.055760705628643	-0.020814379749057834	-0.08964300878673191	-0.0556597933832943	-0.0753464045803488	-0.047428980994416774	0.13857971963469895	1.0704456125576967	-0.1226047622197616	-0.07647906548360434	0.0	-0.18602943407205294	-0.015599676591848367	-0.19787369706744742	-0.03879043681975656	-0.14482641055507917	1.0622573324591404	-0.12500000000000017	0.2352089509622425	1.2834295817030728	-0.07975864925033824	-0.14154452521800404	0.9341336191005011	-0.19606816337364663	0.3349735870443541	1.6434990441555475	0.8810585096939272	-0.42691682525940483	-0.030487449707577857	-0.05381600197000558	-0.04164974761301115	-0.03864139250604502	-0.048485364026658116	-0.16750417105327042	0.750813818124912	0.79682148080359	-0.14749379657156805	-0.08116520560583619	-0.021246043089255026
MPP3KO_MA0506.1 MPP3KO_Cl14	-0.017113829378357235	-0.20557022679432863	-0.11382513067478486	-0.024257006322903108	-0.32926229053541883	-0.10830612716240523	-0.18385606980623104	0.6075435763026615	-0.0396040836753811	-0.04614528856731484	0.28175636324408504	-0.09330846102200917	-0.18602943407205294	0.0	-0.035433234860864866	-0.34709230569337696	-0.05242731582219612	-0.00575626485061779	0.2915387955053933	-0.17193465016621465	0.0077710273763876596	0.4850535461195539	-0.36262359803513056	-0.4664309118004951	0.2774641193084796	1.0643552696927479	-0.45584879905400416	-0.33509491745750924	0.8408441223494998	-0.2367239793065636	-0.024468760951339014	-0.11111679589777465	-0.1435612450795645	-0.07532564793740737	-0.10751547052881918	-0.20959810439242038	-0.08435878666823979	-0.3158219186579362	-0.13574232487938312	-0.2016060749376659	0.5109541542171675
Cluster_16 MPP3KO_Cl12,MPP4WT_Cl17	-0.036956337853179734	-0.032032090420208964	-0.036750687265270345	-0.025047230742027717	-0.016515095467375864	-0.06676454492365236	-0.052049051514007606	-0.014216218591409313	3.3621450478634443	-0.04649300256050599	-0.023234134526553225	-0.050492543254513605	-0.015599676591848367	-0.035433234860864866	0.0	-0.007345621009892268	0.24893349982543098	-0.02786810525347658	-0.039791274569402325	-0.030371552234555378	-0.06822769315251485	-0.04817508840789407	-0.13343536784835566	-0.03557630114201396	-0.16180721082994984	-0.08013105048936262	-0.06592198940373828	-0.03498282540611231	-0.0521910665242485	-0.10802603578992787	-0.16971511616039325	0.03909856174624585	-0.029304448435706846	-0.015053959148548547	-0.04302392338733192	3.513354214778046	-0.06260622153342796	-0.11941629469472018	-0.03232357601777198	-0.03733374489060151	-0.09519988081540273
MPP3KO_MA0067.1 MPP3KO_Cl23	-0.00909505359346873	0.48431991102307625	-0.020590219811571563	-0.004670567674689836	-0.0825344074062293	-0.027998454088259465	-0.03712647362403921	-0.027082084369196742	-0.12398644259242554	-0.11494317593380582	-0.0551020518195771	-0.02943296625602705	-0.19787369706744742	-0.34709230569337696	-0.007345621009892268	0.0	-0.01252807154765874	-0.09485212528416982	-0.11299728103224896	-0.057965124145948586	-0.20018840341067484	0.35112723887677055	0.1919384237117219	-0.09583410124649142	-0.12820543778835577	-0.18891135955094057	-0.16273781078651278	-0.1562706966798171	0.43405922984487955	-0.3062096424204031	-0.007274846988840993	-0.02629359363348326	-0.02162396028289654	-0.02000168184289439	-0.031630154844687855	-0.10511752040413684	-0.045654877714643466	-0.1429680873826372	-0.03803271379408665	-0.06469016813236252	0.5226067462458117
Cluster_12 MPP3KO_Cl7,MPP4WT_Cl21,MPP4WT_Cl20	-0.024059869534268134	-0.041696672557762625	-0.07583005815072501	-0.03310299018093768	-0.01988875967853587	-0.08157512907696822	0.7007541637434734	-0.025502572374275456	2.7868713103670637	-0.08786726532395922	-0.04135461729140099	-0.060084295407237476	-0.03879043681975656	-0.05242731582219612	0.24893349982543098	-0.01252807154765874	0.0	0.6347162011840191	-0.07695090925716006	-0.05603435540861885	-0.1035837972901111	-0.08499938192501152	0.16952050041054353	-0.04946978179240025	-0.2185612695413625	-0.09650414665368011	-0.09593136918163882	0.6608554672964665	0.5938514749384987	-0.1493503598911691	-0.1754148616312686	-0.0726865552870206	-0.03483991090577544	-0.019888759678535865	-0.08454371919962798	3.3170120772928655	0.7161604234392956	1.4303332869251335	-0.0689670651984625	-0.04168068413432855	-0.13485949663482072
MPP3KO_MA1616.1 MPP3KO_Cl3	-0.02405986953426812	0.27951963867274027	-0.08253440740622935	-0.029938611735962985	-0.1477016088840358	-0.08897378203780713	-0.1272937483159663	-0.06310290047617322	0.015545343004167766	-0.36162360316176345	0.46985639265261553	-0.10837701688092144	-0.14482641055507917	-0.00575626485061779	-0.02786810525347658	-0.09485212528416982	0.6347162011840191	0.0	-0.20731374716319584	0.37367447794509745	0.04219662164553626	0.8394111171513932	-0.5255593465271403	-0.2282705478597748	1.0564537178932019	0.31779812344509945	-0.3846874321472667	0.9704280175661566	0.04086660301182104	0.15726389109969222	0.7591438714642209	-0.12977195025889304	-0.0864110858595781	-0.06250519257107592	0.6074808992914661	-0.295632202354574	1.28579844621981	-0.018179998840222672	-0.14378723752737702	-0.12539789263884757	0.16640664828413104
Cluster_29 MPP3KO_Cl19,MPP4WT_Cl3	-0.02779643972107367	1.2306520451378047	-0.08628138064649434	1.4574350645170548	-0.20135057657729416	-0.10311764609588667	-0.12774152601999803	-0.04313995206866766	0.5548221778485464	2.169425055171385	-0.1115685245494811	1.3243872314347558	1.0622573324591404	0.2915387955053933	-0.039791274569402325	-0.11299728103224896	-0.07695090925716006	-0.20731374716319584	0.0	-0.14386499956416965	1.6729746528083742	1.8606382453652015	2.1816149408020036	-0.2142825893399051	5.232072597074615	1.3780274745103775	2.074415640022049	1.6678695449351835	1.8774616342044295	3.245595590628814	-0.040677439478777375	2.3274973943833284	-0.12283182781289734	-0.07592260473770583	-0.07841493724640425	0.24031011873270877	-0.10833803839929929	2.3461973102697304	4.464678732917179	0.5693177227038992	4.129776530209431
